Card Number,PIN,Account Number,Name of Account holder,Balance,Age
519608388871,1234,123456789,Harikesh Verma,10000, 20
519608388872,1234,123456790,Riya Verma,10000, 19
519608388873,1234,123456791,Puspanjali Verma,10000, 18
519608388874,1234,123456792,Deepak Verma,10000, 49
519608388875,1234,123456793,Kavita Verma,10000, 44
519608388876,1234,123456794,Advitiya Verma,10000, 6
519608388877,1234,123456795,Alankriti Verma,10000, 9
519608388878,1234,123456796,Girish Verma,10000, 45
519608388879,1234,123456797,Geeteshwar Verma,10000, 45
519608388810,1234,123456798,Jyoti Verma,10000, 40
519608388811,1234,123456799,Neelu Verma,10000, 40
